File Name, 1952-0.txt
Total Lines, # of total lines 1197
Total Words, # of total words 9434
Total Characters, # of total characters 49989
a(A), # of total a(A)s 3009
b(B), # of total b(B)s 642
c(C), # of total c(C)s 1042
d(D), # of total d(D)s 1626
e(E), # of total e(E)s 4649
f(F), # of total f(F)s 855
g(G), # of total g(G)s 905
h(H), # of total h(H)s 1920
i(I), # of total i(I)s 2941
j(J), # of total j(J)s 174
k(K), # of total k(K)s 355
l(L), # of total l(L)s 1546
m(M), # of total m(M)s 911
n(N), # of total n(N)s 2813
o(O), # of total o(O)s 3273
p(P), # of total p(P)s 859
q(Q), # of total q(Q)s 39
r(R), # of total r(R)s 2408
s(S), # of total s(S)s 2272
t(T), # of total t(T)s 3857
u(U), # of total u(U)s 1250
v(V), # of total v(V)s 333
w(W), # of total w(W)s 869
x(X), # of total x(X)s 47
y(Y), # of total y(Y)s 829
z(Z), # of total z(Z)s 16
The most used character, E
The length of longest line, 69
